FILENAME: COYOTE_102_TV_As-Broadcast Dialogue List (1).docx
STRUCTURE: table_with_timecodes
=== RAW TEXT ===
=== PARAGRAPHS ===
COYOTE
Episode 102 – Final
Episode Title: “Silver or Lead”
RT: 48:14
as-broadcast DIALOGUE LIST
Produced by:
The Carnes & Gilbert Business
Dark Horse Entertainment
Narrative Ballistics
MacLaren Entertainment
Paramount Network Original
Sony Pictures Television Studios
DIALOGUE LIST

=== TABLE 1 (442 rows x 3 cols) ===
TIME CODE | CHARACTER | DIALOGUE
01:00:00:01 | NARRATIVE TITLE | Paramount Network
presents
01:00:02:03 | NARRATIVE TITLE | A Sony Pictures
Television production
01:00:04:08 | MARIA'S DAD | (speaking Spanish) En 1969, casi 12 000 salvadoreños tuvieron que huir de Honduras. ¿Quién sabe el nombre de esa guerra? ¿Mmm?
01:00:04:09 | SUBTITLE (MARIA'S DAD) | In 1969, nearly 12,000 Salvadorans
were forced to flee Honduras.
01:00:10:02 | SUBTITLE (MARIA'S DAD) | Who knows the name of that war?
01:00:15:06 | MARIA'S DAD | (speaking Spanish) ¿Alguien?
01:00:15:09 | SUBTITLE (MARIA'S DAD) | Anyone?
01:00:18:21 | SUBTITLE (MARIA'S DAD) | A hint…
01:00:23:08 | SUBTITLE (CESAR) | The Football War?
01:00:23:12 | CESAR | (speaking Spanish) ¿La guerra del Fútbol?
01:00:24:21 | MARIA'S DAD | (speaking Spanish) ¡Bien, César!
01:00:24:23 | SUBTITLE (MARIA'S DAD) | Bravo, César!
01:00:27:00 | MANUEL | (whispering in Spanish) Apúrate. Lo necesito...
01:00:30:07 | MANUEL | Hey! (speaking Spanish) Démelo, es mío.
01:00:31:00 | SUBTITLE (MANUEL) | Give that back. It's mine.
01:00:36:22 | STUDENTS | <gasps>
01:00:41:04 | MANUEL | <grunts>
01:00:49:13 | MARIA'S DAD | (speaking Spanish) En mi salón, no.
01:00:49:15 | SUBTITLE (MARIA'S DAD) | Not in my classroom.
01:00:50:14 | STUDENTS | <chuckling>
01:00:56:14 | MARIA'S DAD | (overlaps) (speaking Spanish) Vamos, niños, atención. Muy bien, la guerra del Fútbol. También conocida como la guerra de las Cien Horas.
01:00:58:15 | SUBTITLE (MARIA'S DAD) | Ok, the Football War...
01:01:01:18 | SUBTITLE (MARIA'S DAD) | Also known as the Hundred Hour War.
01:01:03:11 | WALLA | <students on school grounds>
01:01:08:07 | NARRATIVE TITLE | EL SALVADOR
2019
01:01:18:02 | CHARACTERS ON TV | (through television) <indistinct chatter> (continues intermittently throughout scene)
01:01:21:05 | SUBTITLE (MARIA'S DAD) | Little Rabbit?
01:01:21:09 | MARIA'S DAD | (speaking Spanish) Conejita. ¿Terminaste la tarea? <light chuckle>
01:01:26:17 | SUBTITLE (MARIA'S DAD) | You finish your homework yet?
01:01:30:10 | THUGS | <effort grunts> <breathing heavily>
01:01:34:11 | MARIA'S DAD | Hey! No, no, no. Ah! <grunts> <whimpering and breathing heavily> (continues under following dialogue)
01:01:36:22 | SUBTITLE (THUG 1) | For a teacher you're not very smart.
01:01:37:03 | THUG 1 | (speaking Spanish) Sos medio pendejo para ser maestro, ¿verdad? Manuel trabaja para nosotros y hoy nos costaste mucho pisto, ¿me entendés? Nos debes.
01:01:40:01 | SUBTITLE (THUG 1) | Manuel works for us.
01:01:42:02 | SUBTITLE (THUG 1) | And today, you cost us money...
01:01:44:05 | SUBTITLE (THUG 1) | You owe us.
