00:00:36:16 --> 00:00:41:13 | AUTUMN
00:00:53:02 --> 00:00:54:18 | It started with a chair.
00:01:20:14 --> 00:01:23:00 | I’ve wanted this for a really long time.
00:01:24:09 --> 00:01:25:14 | I know.
00:01:27:17 --> 00:01:28:20 | Wizard. (Bleeker’s nickname for Juno)
00:01:36:04 --> 00:01:38:16 | Banana! Shut your friggin’ gob, okay?
00:01:41:11 --> 00:01:45:21 | This is the most magnificent discarded living room set I have ever seen. (Juno is being facetious; the living room set is in poor condition but she likes it anyway)
00:02:15:08 --> 00:02:20:08 | (MAIN TITLE) JUNO
00:04:16:12 --> 00:04:20:10 | Well, well. If it isn’t MacGuff the Crime Dog. Back for another test? (MacGuff…Dog: a play on Juno’s last name, MacGuff. McGruff, the Crime Dog, was a cartoon character from the ‘80s who was created to warn children about criminal behavior)
00:04:22:08 --> 00:04:23:17 | I think the first one was defective.
00:04:23:22 --> 00:04:27:10 | JUNO (division symbol: used in mathematical formulas to indicate that a number is to be divided by another, looks very similar to the plus or addition symbol)
00:04:29:08 --> 00:04:33:15 | Third test today, Mama Bear. Your eggo is preggo, no doubt about it. (This is the third test Juno has purchased today)
00:04:34:03 --> 00:04:36:16 | It’s really easy to tell. Is your nipples real brown?
00:04:37:01 --> 00:04:40:19 | Yeah. Maybe your little boyfriend’s got mutant sperms. Knocked you up twice.
00:04:41:00 --> 00:04:42:18 | Silencio, old man!
00:04:43:01 --> 00:04:46:08 | I just drank my weight in Sunny D and I gotta go pronto.
00:04:47:15 --> 00:04:49:00 | You know where the lavatory is.
00:04:51:07 --> 00:04:52:20 | And pay for that pee stick when you’re done.
00:04:53:16 --> 00:04:56:13 | Don’t think it’s yours just because you marked it with your urine!
00:05:26:09 --> 00:05:29:00 | What’s the prognosis, Fertile Myrtle. Minus or plus?
00:05:29:11 --> 00:05:31:07 | I don’t know. It’s not seasoned yet.
00:05:32:18 --> 00:05:34:04 | Take some of these. (I’ll buy this candy)
00:05:38:04 --> 00:05:40:14 | No. There it is.
00:05:41:11 --> 00:05:44:06 | That little pink plus sign is so unholy.
00:05:45:12 --> 00:05:46:23 | That ain’t no Etch-a-Sketch. (Rollo is saying Juno can’t change the test results by shaking the stick)
00:05:48:00 --> 00:05:50:19 | This is one doodle that can’t be undid, home skillet.
00:05:59:07 --> 00:06:03:04 | “I took the Polaroid down in my room” (I put away the photograph of you)
00:06:03:12 --> 00:06:07:07 | “I’m pretty sure you have a new girlfriend”
00:06:07:16 --> 00:06:11:01 | “It’s not as if I don’t like you”
00:06:11:06 --> 00:06:15:06 | “It just makes me sad whenever I see it”
00:06:15:17 --> 00:06:19:12 | “’Cause I like to be gone most of the time”
00:06:19:20 --> 00:06:23:17 | “And you like to be home most of the time”
00:06:23:22 --> 00:06:27:10 | “If I stay in one place, I lose my mind”
00:06:27:15 --> 00:06:32:04 | “I’m a pretty impossible lady to be with”
00:06:32:12 --> 00:06:36:05 | “Joey never met a bike that he didn’t want to ride”
00:06:36:10 --> 00:06:40:07 | “And I never met a Toby that I didn’t like”
00:06:40:22 --> 00:06:44:19 | “Scotty liked all of the books that I recommended”
