**Sh#** | **Sh** | **Time** | **In** | **Scene** | **Description** | **Title** | **Time** | **In** | **Time** | **Out** | **Dur** | **Titles**
1 | 01:00:00:00 |  |  | LOGO | ANIMATION | 1 | 01:00:00:15 |  | 01:00:02:13 |  | 01:22 | [music begins]
 |  |  |  | IMAGE | NATION-ABU DHABI |  |  |  |  |  |  | 
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
2 | 01:00:13:19 |  |  | LOGO | ANIMATION |  |  |  |  |  |  | 
 |  |  |  | VICSCREEN |  |  |  |  |  |  |  | 
3 | 01:00:23:15 |  |  | LOGO | ANIMATION |  |  |  |  |  |  | 
 |  |  |  | GOOD | FRIEND FILMS |  |  |  |  |  |  | 
4 | 01:00:39:02 |  |  | LOGO | ANIMATION |  |  |  |  |  |  | 
 |  |  |  | CINETIC |  |  |  |  |  |  |  | 
5 | 01:00:55:16 |  |  | LOGO | ANIMATION |  |  |  |  |  |  | 
 |  |  |  | AGC | STUDIOS |  |  |  |  |  |  | 
6 | 01:01:06:06 |  |  | LOGO | ANIMATION |  |  |  |  |  |  | 
 |  |  |  | FUTURE | PICTURES, SINCE 2068 |  |  |  |  |  |  | 
7 | 01:01:17:04 |  |  | LOGO | ANIMATION | 2 | 01:01:23:11 |  | 01:01:24:12 |  | 01:01 | [music ends]
 |  |  |  | SPOOKY | PICTURES |  |  |  |  |  |  | 
 |  |  |  |  |  | 3 | 01:01:34:09 |  | 01:01:38:07 |  | 03:22 | [music begins]
 |  |  |  | [music | ends] |  |  |  |  |  |  | [indistinct yelling]
 |  |  |  | [music | begins] |  |  |  |  |  |  | 
 |  |  |  | [indistinct | yelling] |  |  |  |  |  |  | 
8 | 01:01:39:22 |  |  | FS - | A BLAST |  |  |  |  |  |  | 
9 | 01:01:41:21 |  |  | MS - | PEOPLE PROTEST |  |  |  |  |  |  | 
10 | 01:01:42:05 |  |  | MS - | A SOLDIER FIRES |  |  |  |  |  |  | 
11 | 01:01:42:18 |  |  | MS - | THE PEOPLE PROTEST |  |  |  |  |  |  | 
12 | 01:01:43:07 |  |  | MWS | - A BUILDING ON FIRE | 4 | 01:01:43:07 |  | 01:01:45:19 |  | 02:12 | REPORTER (OS):
 |  |  |  |  |  |  |  |  |  |  |  | Mindless violence
 |  |  |  | REPORTER | (OS): |  |  |  |  |  |  | lit up the sky.
 |  |  |  | Mindless | violence |  |  |  |  |  |  | 
 |  |  |  | lit up | the sky. |  |  |  |  |  |  | 
13 | 01:01:43:19 |  |  | FS - | A CAR ON FIRE |  |  |  |  |  |  | 
14 | 01:01:44:07 |  |  | FS - | PEOPLE BURN THE CARS |  |  |  |  |  |  | 
15 | 01:01:44:17 |  |  | FS - | A MAN BURNS THE CAR |  |  |  |  |  |  | 
16 | 01:01:45:13 |  |  | FS - | THE CITY VIEW | 5 | 01:01:45:21 |  | 01:01:48:03 |  | 02:06 | NARRATOR (VO):
 |  |  |  |  |  |  |  |  |  |  |  | America, the 1970s-
 |  |  |  | NARRATOR | (VO): |  |  |  |  |  |  | 
 |  |  |  | America, | the 1970s- |  |  |  |  |  |  | 
17 | 01:01:46:03 |  |  | FS - | THE POLICE MEN TORTURE |  |  |  |  |  |  | 
 |  |  |  | THE | MEN |  |  |  |  |  |  | 
 |  |  |  |  |  |  |  |  |  |  |  | pg. 1
18 | 01:01:46:16 |  |  | FS - | THE PEOPLE PROTEST |  |  |  |  |  |  | 
19 | 01:01:47:20 |  |  | FS - | THE STREET | 6 | 01:01:48:05 |  | 01:01:50:01 |  | 01:20 | REPORTER (OS):
